what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1358978546623
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1358978546633
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1358978546633
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1358978546633
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1358978546633
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1358978546633
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1358978546633
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1358978546633
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1358978546633
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1358978546633
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1358978546633
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1358978546633
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1358978546633
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1358978546633
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1358978546633
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1358978546633
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1358978546633
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1358978546633
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1358978546633
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1358978546633
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1358978546643
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1358978546643
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1358978546643
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1358978546643
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1358978546643
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1358978546643
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1358978546643
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1358978546643
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1358978546663
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1358978546663
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358978546663
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1358978546663
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1358978546663
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1358978546663
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1358978546663
os,sysinfo,,,"win32",1358978546663
arch,sysinfo,,,"x86",1358978546663
ws,sysinfo,,,"win32",1358978546663
locale,sysinfo,,,"en_US",1358978546663
processors,sysinfo,,,"4",1358978546663
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358978546663
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1358978546663
java.specification.name,sysinfo,,,"Java Platform API Specification",1358978546663
java.specification.vendor,sysinfo,,,"Oracle Corporation",1358978546663
java.specification.version,sysinfo,,,"1.7",1358978546663
java.vendor,sysinfo,,,"Oracle Corporation",1358978546663
java.version,sysinfo,,,"1.7.0_07",1358978546663
java.vm.info,sysinfo,,,"mixed mode, sharing",1358978546663
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358978546663
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358978546663
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1358978546663
java.vm.specification.version,sysinfo,,,"1.7",1358978546663
java.vm.vendor,sysinfo,,,"Oracle Corporation",1358978546663
java.vm.version,sysinfo,,,"23.3-b01",1358978546663
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1358978546673
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358978546873
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978550083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978550163
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358978552814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1358978553634
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978553934
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1358978555754
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1358978555844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978555924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978558077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978558132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978559280
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978562044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978562134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978563154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978564635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358978568825
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1358978570045
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1358978570065
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1358978570255
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1358978570285
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1358978570285
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1358978570715
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1358978570735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978570875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978576355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978579116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978581556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978583257
